#=====================================================
# File created:        Mon-03-Nov-2025-at-09-12-19PM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        2.579831
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00576    0.1987   -1299.2738  0.8053 
   00577    0.2013   -1298.6496  0.8245 
   00578    0.1987   -1282.9912  0.8085 
   00579    0.1987   -1279.5331  0.8110 
   00580    0.2125   -1283.5737  0.8020 
   00581    0.1913   -1266.7764  0.8105 
   00582    0.2050   -1319.1919  0.8234 
   00583    0.2087   -1307.0939  0.8300 
   00584    0.2037   -1302.5416  0.8340 
   00585    0.2100   -1303.7831  0.8281 
   00586    0.2000   -1304.1929  0.8252 
   00587    0.1975   -1323.4222  0.8250 
   00588    0.1788   -1307.1858  0.8186 
   00589    0.1825   -1307.5712  0.8100 
   00590    0.1962   -1311.6775  0.8150 
   00591    0.1962   -1322.6018  0.8289 
   00592    0.2075   -1345.5738  0.8344 
   00593    0.2013   -1312.1439  0.8247 
   00594    0.1938   -1312.9671  0.8105 
   00595    0.2112   -1308.4321  0.8055 
   00596    0.1837   -1302.6070  0.8034 
   00597    0.2075   -1296.9346  0.8115 
   00598    0.2100   -1306.2846  0.8222 
   00599    0.2100   -1303.0745  0.8154 
   00600    0.1875   -1307.4343  0.8173 
   00601    0.2200   -1275.2215  0.8070 
   00602    0.1925   -1289.3387  0.8209 
   00603    0.2037   -1293.4404  0.8184 
   00604    0.1962   -1268.1275  0.8091 
   00605    0.2050   -1256.9695  0.7916 
   00606    0.1888   -1251.9325  0.7993 
   00607    0.1938   -1275.1880  0.8008 
